Region,Country,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Azerbaijan,190843.90,127859.38,62984.52
Central America and the Caribbean,Saint Vincent and the Grenadines,287934.79,199648.41,88286.38
Europe,Estonia,573392.16,188052.48,385339.68
Middle East and North Africa,Israel,1474990.86,941952.48,533038.38
North America,United States of America,1809064.32,1563790.72,245273.60
Sub-Saharan Africa,Burundi,2207150.88,1378345.32,828805.56
Middle East and North Africa,Pakistan,6220257.16,4677642.32,1542614.84
Sub-Saharan Africa,Central African Republic,398270.29,276152.91,122117.38
Asia,Indonesia,199940.40,113830.92,86109.48
Asia,Japan,2301420.80,1386169.12,915251.68
Sub-Saharan Africa,Zambia,266971.04,87557.12,179413.92
Sub-Saharan Africa,Ethiopia,6170136.91,4639951.82,1530185.09
Asia,India,2396313.36,1496475.54,899837.82
Asia,Thailand,81096.36,60148.64,20947.72
Sub-Saharan Africa,Mali,4357135.20,2624346.78,1732788.42
Sub-Saharan Africa,Cote d'Ivoire,1241261.42,732623.01,508638.41
Australia and Oceania,East Timor,746420.70,440555.85,305864.85
Europe,France,1789657.38,1547014.98,242642.40
Europe,Croatia,67073.37,49747.88,17325.49
Asia,Kazakhstan,727804.80,238694.40,489110.40
Middle East and North Africa,Afghanistan,1732218.60,1396393.60,335825.00
Asia,Taiwan,1486182.50,846119.75,640062.75
Sub-Saharan Africa,Rwanda,1938311.10,1103527.53,834783.57
Asia,Sri Lanka,154331.60,92955.49,61376.11
Asia,Myanmar,1254510.58,740442.99,514067.59
Sub-Saharan Africa,Niger,455401.36,268789.08,186612.28
Sub-Saharan Africa,Malawi,506220.24,316129.86,190090.38
Europe,Denmark,486077.44,159416.32,326661.12
Middle East and North Africa,Azerbaijan,2787427.23,2409506.83,377920.40
Sub-Saharan Africa,Uganda,4392411.45,3540855.20,851556.25
Central America and the Caribbean,Dominica,36820.30,20962.69,15857.61
Asia,Sri Lanka,649838.22,414996.96,234841.26
Sub-Saharan Africa,Ghana,159621.80,106941.56,52680.24
Sub-Saharan Africa,Equatorial Guinea,1647902.34,1424479.14,223423.20
Central America and the Caribbean,Haiti,1019145.28,334243.84,684901.44
Sub-Saharan Africa,Sao Tome and Principe,2150795.22,1859189.62,291605.60
Europe,Bulgaria,951683.84,594317.76,357366.08
Sub-Saharan Africa,Eritrea,1487655.00,950040.00,537615.00
Europe,Armenia,1208495.52,754694.28,453801.24
Australia and Oceania,Palau,468378.90,266659.47,201719.43
Middle East and North Africa,Libya,459113.22,293196.96,165916.26
Europe,Cyprus,6410045.84,4820363.68,1589682.16
Asia,Bangladesh,750672.40,452137.61,298534.79
Sub-Saharan Africa,Senegal,741111.43,557316.86,183794.57
Sub-Saharan Africa,Senegal,4358456.94,3277565.88,1080891.06
Sub-Saharan Africa,South Sudan,3822439.60,2302294.19,1520145.41
Middle East and North Africa,Iraq,2357521.32,2037887.72,319633.60
Australia and Oceania,Fiji,4615072.62,3470541.24,1144531.38
Sub-Saharan Africa,Benin,1046683.84,343275.52,703408.32
Sub-Saharan Africa,Mauritius ,205550.95,142525.05,63025.90
Middle East and North Africa,Pakistan,724877.60,436601.14,288276.46
Central America and the Caribbean,El Salvador,1024591.70,583324.91,441266.79
Asia,Japan,69881.70,51830.80,18050.90
Central America and the Caribbean,The Bahamas,1279659.70,728541.31,551118.39
North America,Greenland,807274.40,476473.20,330801.20
Middle East and North Africa,Turkey,6036.51,4477.24,1559.27
Europe,Kosovo,3627890.91,2924552.16,703338.75
Europe,Slovenia,1320818.72,824839.08,495979.64
Europe,Vatican City,253736.82,149761.71,103975.11
Europe,Cyprus,6000900.15,4837506.40,1163393.75
Asia,Taiwan,3853121.37,3330713.77,522407.60
Asia,Japan,1976976.54,1708937.34,268039.20
Central America and the Caribbean,El Salvador,953785.46,562947.63,390837.83
Middle East and North Africa,Kuwait,655570.72,215004.16,440566.56
Central America and the Caribbean,Panama,381168.64,125009.92,256158.72
Central America and the Caribbean,Dominican Republic,7540.32,2472.96,5067.36
Middle East and North Africa,Algeria,1765609.65,1526227.65,239382.00
Europe,Armenia,2662125.90,2301193.90,360932.00
Europe,Estonia,36844.17,27327.08,9517.09
Central America and the Caribbean,Barbados,1694293.36,1058070.54,636222.82
Central America and the Caribbean,Guatemala,411842.40,248056.86,163785.54
Australia and Oceania,Tuvalu,833391.96,532217.28,301174.68
Central America and the Caribbean,Saint Kitts and Nevis ,54375.24,40329.76,14045.48
Europe,Greece,6317388.21,5092636.96,1224751.25
Europe,Greece,1153944.12,930229.12,223715.00
Sub-Saharan Africa,Djibouti,2238039.76,1397635.14,840404.62
Australia and Oceania,Federated States of Micronesia,913102.30,519851.29,393251.01
Europe,Kosovo,704670.44,415913.82,288756.62
Sub-Saharan Africa,Mozambique,162642.70,112773.30,49869.40
Sub-Saharan Africa,Togo,14340.21,10636.04,3704.17
Sub-Saharan Africa,Benin,241615.40,161874.68,79740.72
Asia,South Korea,311699.05,208828.51,102870.54
Europe,Liechtenstein,1054022.64,673115.52,380907.12
Sub-Saharan Africa,Zambia,6070564.68,4565073.36,1505491.32
Middle East and North Africa,Lebanon,147189.90,98612.58,48577.32
Sub-Saharan Africa,Ghana,649907.58,523910.08,125997.50
Europe,Slovenia,1196923.98,964876.48,232047.50
Middle East and North Africa,Egypt,4492779.21,3378576.42,1114202.79
Australia and Oceania,New Zealand,582346.80,343715.40,238631.40
Australia and Oceania,Australia,810003.44,505839.66,304163.78
Europe,Ukraine,883015.77,763296.17,119719.60
Asia,Maldives,1504087.78,887749.59,616338.19
Europe,Finland,375906.40,221869.20,154037.20
Australia and Oceania,Kiribati,1282892.64,819275.52,463617.12
Sub-Saharan Africa,Sierra Leone,459869.10,271426.05,188443.05
Asia,Kazakhstan,898585.60,561158.40,337427.20
Sub-Saharan Africa,Ghana,40977.36,30392.64,10584.72
Middle East and North Africa,Morocco,18790.62,13936.88,4853.74
Australia and Oceania,New Zealand,2021208.20,1150722.86,870485.34
Europe,Serbia,361061.12,118415.36,242645.76
Central America and the Caribbean,Nicaragua,46192.83,34260.92,11931.91
Middle East and North Africa,Algeria,6058857.84,4884227.84,1174630.00
Middle East and North Africa,Kuwait,1631201.00,928682.30,702518.70
Sub-Saharan Africa,Lesotho,210108.60,140766.12,69342.48
Europe,Finland,770550.44,534284.76,236265.68
Middle East and North Africa,Iran,456952.43,316841.97,140110.46
Australia and Oceania,Tonga,1100711.01,951476.21,149234.80
Europe,Hungary,180296.38,125014.02,55282.36
Europe,Bosnia and Herzegovina,483132.16,285156.48,197975.68
Sub-Saharan Africa,Botswana,293573.15,196684.73,96888.42
Sub-Saharan Africa,Djibouti,3870418.86,3345666.06,524752.80
Central America and the Caribbean,Panama,400703.60,228130.28,172573.32
Australia and Oceania,Fiji,211781.04,135246.72,76534.32
Asia,South Korea,523398.92,362914.68,160484.24
Sub-Saharan Africa,Nigeria,452936.40,267334.20,185602.20
Australia and Oceania,Tuvalu,733036.37,508273.23,224763.14
Central America and the Caribbean,Jamaica,1462799.70,863380.35,599419.35
Sub-Saharan Africa,Equatorial Guinea,397215.68,248057.52,149158.16
Sub-Saharan Africa,Republic of the Congo,86003.94,63788.56,22215.38
Sub-Saharan Africa,Rwanda,5586730.59,4503631.84,1083098.75
Sub-Saharan Africa,Liberia,707380.88,441752.82,265628.06
Asia,Taiwan,64880.82,48121.68,16759.14
Sub-Saharan Africa,Guinea,2162017.20,1742867.20,419150.00
Central America and the Caribbean,Grenada,497980.89,345290.31,152690.58
Sub-Saharan Africa,Niger,1666467.84,1040693.76,625774.08
Central America and the Caribbean,Grenada,3337571.79,2885062.59,452509.20
Europe,Lithuania,114986.30,65464.49,49521.81
Sub-Saharan Africa,Benin,2878133.58,2487915.18,390218.40
Middle East and North Africa,Bahrain,4061745.06,3054438.12,1007306.94
Central America and the Caribbean,El Salvador,2003518.00,1140651.40,862866.60
Asia,Indonesia,2636390.61,2278947.81,357442.80
Europe,Netherlands,936530.74,552763.47,383767.27
Middle East and North Africa,Israel,1385389.50,788735.85,596653.65
Europe,Switzerland,3389611.60,2041597.49,1348014.11
Asia,South Korea,869706.00,555408.00,314298.00
Europe,France,85612.08,63497.92,22114.16
Europe,Bulgaria,311309.57,215856.03,95453.54
Sub-Saharan Africa,Ethiopia,344581.90,230858.98,113722.92
Sub-Saharan Africa,South Sudan,651057.56,384270.18,266787.38
Sub-Saharan Africa,Guinea-Bissau,601615.14,520047.94,81567.20
Australia and Oceania,Fiji,1702914.15,1372770.40,330143.75
Sub-Saharan Africa,Democratic Republic of the Congo,2393074.87,1799595.74,593479.13
Sub-Saharan Africa,Uganda,3121608.00,1880176.20,1241431.80
Asia,Uzbekistan,75955.53,56335.72,19619.81
Europe,Romania,5656237.28,4253498.56,1402738.72
Sub-Saharan Africa,Namibia,165176.33,114530.07,50646.26
North America,Mexico,797112.69,552702.51,244410.18
Sub-Saharan Africa,Nigeria,707055.72,451536.96,255518.76
Europe,Croatia,545057.37,377932.23,167125.14
Europe,San Marino,374617.75,250982.05,123635.70
Middle East and North Africa,Libya,1125735.24,718912.32,406822.92
Europe,Austria,4048572.57,3263676.32,784896.25
Sub-Saharan Africa,Swaziland,1072866.27,927406.67,145459.60
Asia,Maldives,712068.48,233533.44,478535.04
Europe,Belarus,2329401.60,1403022.24,926379.36
Sub-Saharan Africa,Swaziland,3586788.80,2160359.32,1426429.48
Central America and the Caribbean,Dominican Republic,589802.22,509836.62,79965.60
Asia,India,1348360.44,1165549.24,182811.20
Middle East and North Africa,Morocco,5957627.05,4480144.10,1477482.95
Asia,North Korea,909724.30,536941.65,372782.65
Sub-Saharan Africa,Niger,1303948.68,832722.24,471226.44
Sub-Saharan Africa,Ethiopia,1419588.40,855032.51,564555.89
Europe,Iceland,2306868.04,1734768.08,572099.96
Middle East and North Africa,Iran,2026422.00,1220534.55,805887.45
Asia,Brunei,1016194.72,333276.16,682918.56
Central America and the Caribbean,Panama,866967.60,522183.39,344784.21
Middle East and North Africa,Iran,654909.06,386543.43,268365.63
Sub-Saharan Africa,Botswana,1480636.32,945557.76,535078.56
North America,Greenland,3785197.08,3271998.68,513198.40
Asia,Nepal,3150893.05,2369476.10,781416.95
Asia,India,314356.25,210608.75,103747.50
Australia and Oceania,Federated States of Micronesia,4294971.29,3229824.58,1065146.71
Sub-Saharan Africa,Mozambique,26823.75,19895.00,6928.75
North America,Canada,1030830.48,658304.64,372525.84
Europe,Finland,3933437.22,2957950.44,975486.78
Europe,Liechtenstein,12567.20,4121.60,8445.60
Middle East and North Africa,Yemen,58984.26,43748.24,15236.02
Europe,Germany,521671.02,333147.36,188523.66
Europe,Ukraine,4909779.69,3692161.38,1217618.31
Europe,Norway,936838.86,552945.33,383893.53
Europe,Albania,3090748.75,2324247.50,766501.25
Australia and Oceania,Solomon Islands,3085.50,1756.65,1328.85
Australia and Oceania,New Zealand,973659.20,574677.60,398981.60
Europe,Slovenia,6440117.99,4842977.98,1597140.01
Middle East and North Africa,Turkey,338330.88,110960.64,227370.24
Sub-Saharan Africa,Malawi,151936.07,105349.53,46586.54
Asia,Mongolia,5425015.86,4079619.72,1345396.14
Australia and Oceania,Marshall Islands,1556186.88,971824.32,584362.56
Central America and the Caribbean,Honduras,4709966.96,3541901.92,1168065.04
Middle East and North Africa,Pakistan,465642.08,152714.24,312927.84
Europe,Armenia,1656296.40,942969.72,713326.68
Middle East and North Africa,Kuwait,324855.30,280811.30,44044.00
Sub-Saharan Africa,Ghana,196048.32,64296.96,131751.36
Sub-Saharan Africa,Angola,207185.55,143658.45,63527.10
Australia and Oceania,Samoa ,960303.99,722149.98,238154.01
Sub-Saharan Africa,Botswana,1382226.32,815823.96,566402.36
Asia,Philippines,1156831.20,696771.18,460060.02
Europe,United Kingdom,841248.66,727191.86,114056.80
Central America and the Caribbean,Barbados,2395079.68,1801103.36,593976.32
Sub-Saharan Africa,Ghana,917616.12,586004.16,331611.96
Asia,Japan,2149275.20,1294530.28,854744.92
Middle East and North Africa,Lebanon,5311409.96,3994187.92,1317222.04
Europe,Norway,6385114.05,5147232.80,1237881.25
Sub-Saharan Africa,Sudan,3152212.00,1898609.30,1253602.70
Australia and Oceania,Samoa ,597655.86,381672.48,215983.38
Asia,Sri Lanka,2497286.40,1504140.96,993145.44
Asia,Kazakhstan,256894.30,172111.06,84783.24
Europe,Monaco,3320274.30,2870110.30,450164.00
Europe,Czech Republic,405462.53,281139.87,124322.66
Central America and the Caribbean,Trinidad and Tobago,389423.58,313926.08,75497.50
Sub-Saharan Africa,Gabon,467659.06,324265.74,143393.32
Sub-Saharan Africa,Namibia,1446694.80,871358.97,575335.83
Europe,Slovenia,1418394.18,1226087.78,192306.40
Middle East and North Africa,Tunisia ,647056.41,448656.39,198400.02
Australia and Oceania,Solomon Islands,2549481.27,2203821.67,345659.60
Europe,Russia,82449.21,61152.04,21297.17
Sub-Saharan Africa,Swaziland,484110.40,158771.20,325339.20
Europe,Austria,325982.24,106910.72,219071.52
Asia,Uzbekistan,430912.64,269100.96,161811.68
Sub-Saharan Africa,Ghana,2009483.30,1144047.59,865435.71
Sub-Saharan Africa,Uganda,380294.40,124723.20,255571.20
Middle East and North Africa,Israel,10337.64,7667.36,2670.28
Central America and the Caribbean,Jamaica,74369.43,55159.32,19210.11
Asia,Taiwan,67189.20,45014.64,22174.56
Australia and Oceania,New Zealand,475995.52,330046.08,145949.44
Europe,Finland,1171626.30,691522.65,480103.65
Sub-Saharan Africa,Rwanda,132195.63,106566.88,25628.75
Australia and Oceania,Fiji,993464.48,325821.44,667643.04
Europe,Poland,4410645.33,3555554.08,855091.25
Middle East and North Africa,Egypt,3404039.20,2050287.38,1353751.82
Middle East and North Africa,Oman,564088.26,360235.68,203852.58
Central America and the Caribbean,Honduras,1667404.20,949293.66,718110.54
Sub-Saharan Africa,Malawi,134118.93,92995.47,41123.46
Asia,Malaysia,330394.35,221353.77,109040.58
Asia,Uzbekistan,307876.91,213475.89,94401.02
Central America and the Caribbean,Dominica,179076.30,119975.46,59100.84
Europe,Latvia,884150.34,521847.27,362303.07
Europe,Poland,21352.50,14305.50,7047.00
Asia,Brunei,1460967.44,912360.66,548606.78
Middle East and North Africa,Saudi Arabia,114994.11,79734.69,35259.42
Central America and the Caribbean,Trinidad and Tobago,478755.68,157015.04,321740.64
Sub-Saharan Africa,Democratic Republic of the Congo,548145.48,323528.94,224616.54
Middle East and North Africa,Turkey,45521.07,33762.68,11758.39
Australia and Oceania,Samoa ,58946.94,43720.56,15226.38
Australia and Oceania,Tonga,592416.00,337276.80,255139.20
Europe,Armenia,246496.00,145488.00,101008.00
Middle East and North Africa,Yemen,535086.31,371018.49,164067.82
Middle East and North Africa,Libya,1669666.80,1005657.27,664009.53
Sub-Saharan Africa,Kenya,4374495.42,3289626.84,1084868.58
North America,United States of America,4323470.80,2604070.37,1719400.43
Europe,Poland,2640688.00,1590513.20,1050174.80
Europe,France,3891091.47,3363535.87,527555.60
Europe,Portugal,56720.62,39328.98,17391.64
Sub-Saharan Africa,Zimbabwe,768700.90,437640.07,331060.83
Middle East and North Africa,Pakistan,80891.10,59996.40,20894.70
Sub-Saharan Africa,Madagascar,641008.39,444462.81,196545.58
Europe,Malta,130619.50,74364.85,56254.65
Sub-Saharan Africa,Liberia,1302731.36,768904.08,533827.28
Australia and Oceania,Solomon Islands,2488980.00,1554345.00,934635.00
Australia and Oceania,New Zealand,2105231.10,1819803.10,285428.00
Asia,Maldives,709618.98,613408.58,96210.40
Central America and the Caribbean,Dominican Republic,1925352.00,1096149.60,829202.40
Asia,Turkmenistan,501813.76,164577.28,337236.48
Middle East and North Africa,Somalia,488581.94,338773.26,149808.68
Sub-Saharan Africa,Namibia,434025.15,290783.13,143242.02
Sub-Saharan Africa,Comoros,742526.40,641854.40,100672.00
Asia,Myanmar,5686309.43,4276112.86,1410196.57
Asia,North Korea,1562058.32,975490.98,586567.34
Asia,Myanmar,681873.39,472797.81,209075.58
Central America and the Caribbean,Barbados,45979.05,30804.51,15174.54
Middle East and North Africa,Tunisia ,323276.85,216585.27,106691.58
Sub-Saharan Africa,Madagascar,34401.25,23047.75,11353.50
Middle East and North Africa,Tunisia ,3062681.41,2303140.82,759540.59
Central America and the Caribbean,Antigua and Barbuda ,970347.00,838787.00,131560.00
Asia,China,526401.76,172641.28,353760.48
Sub-Saharan Africa,Sudan,3413523.16,2566974.32,846548.84
Sub-Saharan Africa,Equatorial Guinea,1341188.31,1159349.51,181838.80
Asia,Myanmar,692887.44,558557.44,134330.00
Sub-Saharan Africa,Mauritius ,5100927.93,4112011.68,988916.25
Sub-Saharan Africa,Republic of the Congo,705902.92,416641.26,289261.66
Australia and Oceania,Marshall Islands,1454788.58,858651.99,596136.59
Central America and the Caribbean,Belize,122231.20,81891.04,40340.16
Asia,Japan,241286.10,137370.03,103916.07
Sub-Saharan Africa,Central African Republic,41602.47,30856.28,10746.19
Europe,Andorra,81059.04,60120.96,20938.08
Europe,Lithuania,20022.18,14850.32,5171.86
Asia,Nepal,38547.28,24072.42,14474.86
Middle East and North Africa,Somalia,4168.23,2890.17,1278.06
Middle East and North Africa,Afghanistan,2627109.03,2270924.63,356184.40
Asia,Bhutan,3400157.76,2556923.52,843234.24
Europe,Ireland,51445.59,41471.84,9973.75
Sub-Saharan Africa,Ethiopia,545220.83,378045.57,167175.26
Australia and Oceania,Palau,1135576.26,670245.03,465331.23
Sub-Saharan Africa,Guinea-Bissau,1034512.90,610594.95,423917.95
Europe,Cyprus,2644828.41,2286241.61,358586.80
Central America and the Caribbean,Nicaragua,6272454.72,5056414.72,1216040.00
Asia,Thailand,352743.30,236326.86,116416.44
Asia,Taiwan,1521877.77,1226831.52,295046.25
Europe,Bosnia and Herzegovina,2626329.93,2117163.68,509166.25
Europe,Armenia,653984.70,385997.85,267986.85
Asia,Japan,141229.44,97925.76,43303.68
Europe,Montenegro,67819.77,50301.48,17518.29
Sub-Saharan Africa,Ethiopia,709825.05,492178.95,217646.10
Asia,Thailand,475995.52,330046.08,145949.44
Asia,Taiwan,3624634.86,2921927.36,702707.50
Middle East and North Africa,Afghanistan,323751.35,216903.17,106848.18
Asia,South Korea,1413230.08,882549.12,530680.96
Central America and the Caribbean,The Bahamas,1491300.80,880202.40,611098.40
Sub-Saharan Africa,The Gambia,465423.52,152642.56,312780.96
Central America and the Caribbean,Saint Vincent and the Grenadines,689556.80,226150.40,463406.40
Central America and the Caribbean,Panama,2527272.00,1578258.00,949014.00
Australia and Oceania,Tonga,171957.66,109814.88,62142.78
Europe,Hungary,341062.88,111856.64,229206.24
Europe,Georgia,266512.32,166434.48,100077.84
Sub-Saharan Africa,Swaziland,1081487.04,690654.72,390832.32
Sub-Saharan Africa,Mauritania,51091.08,37893.92,13197.16
Europe,Greece,4987967.28,3750958.56,1237008.72
Sub-Saharan Africa,Angola,692507.36,227118.08,465389.28
Middle East and North Africa,Pakistan,197214.49,136744.71,60469.78
Europe,Norway,381545.45,255623.39,125922.06
Asia,Vietnam,212498.00,147342.00,65156.00
Australia and Oceania,Tonga,69993.66,51913.84,18079.82
Asia,North Korea,97176.97,67380.63,29796.34
Europe,Bosnia and Herzegovina,196158.30,131419.86,64738.44
Asia,Taiwan,182302.90,122137.18,60165.72
Sub-Saharan Africa,Democratic Republic of the Congo,1503065.58,959881.44,543184.14
Sub-Saharan Africa,Guinea,2227573.28,1391098.92,836474.36
Sub-Saharan Africa,Kenya,741045.91,513826.89,227219.02
Sub-Saharan Africa,Burundi,710647.84,233067.52,477580.32
Europe,Austria,710724.08,492802.32,217921.76
Sub-Saharan Africa,Liberia,69526.60,39583.18,29943.42
Europe,Armenia,2081297.84,1299751.26,781546.58
Middle East and North Africa,Turkey,3838882.95,3094639.20,744243.75
Asia,Maldives,1426775.58,911161.44,515614.14
Europe,Ukraine,341309.36,213144.54,128164.82
Middle East and North Africa,Pakistan,547917.92,379915.68,168002.24
Middle East and North Africa,Somalia,1871202.40,1168548.60,702653.80
Europe,Switzerland,4762760.29,3581602.58,1181157.71
Europe,Germany,1447305.20,823985.96,623319.24
Australia and Oceania,Vanuatu,5083.98,3000.69,2083.29
Asia,Japan,933942.18,596430.24,337511.94
Australia and Oceania,Tonga,4777927.77,3851631.52,926296.25
Sub-Saharan Africa,Republic of the Congo,1789525.08,1442590.08,346935.00
Asia,Cambodia,282131.96,195624.84,86507.12
Asia,Kyrgyzstan,1935022.40,1208403.60,726618.80
Sub-Saharan Africa,Zambia,49383.69,36627.56,12756.13
Asia,Bangladesh,582963.04,344079.12,238883.92
Sub-Saharan Africa,Cape Verde,185854.02,128867.58,56986.44
Sub-Saharan Africa,Republic of the Congo,1071264.18,684126.24,387137.94
Sub-Saharan Africa,Cameroon,2661704.01,2300829.21,360874.80
Central America and the Caribbean,Jamaica,258934.65,173478.03,85456.62
Europe,Moldova ,764464.68,660818.28,103646.40
Europe,Liechtenstein,797276.15,552815.85,244460.30
Sub-Saharan Africa,Cote d'Ivoire,2490728.40,1500191.01,990537.39
Australia and Oceania,Solomon Islands,1299421.20,1123245.20,176176.00
Central America and the Caribbean,Nicaragua,602922.21,418054.59,184867.62
North America,Canada,168695.70,99568.35,69127.35
Europe,Montenegro,5859391.36,4406270.72,1453120.64
Europe,Serbia,302727.90,178677.45,124050.45
Sub-Saharan Africa,Central African Republic,1093364.24,682795.86,410568.38
Europe,Switzerland,4137137.13,3335070.88,802066.25
Middle East and North Africa,Pakistan,171965.20,97903.96,74061.24
North America,Greenland,3132111.36,2707458.56,424652.80
Asia,North Korea,2001905.76,1250171.64,751734.12
Sub-Saharan Africa,Eritrea,214945.76,134231.64,80714.12
Europe,Slovakia,4820231.51,3624821.02,1195410.49
North America,United States of America,735020.26,433827.03,301193.23
Asia,Mongolia,513431.70,327885.60,185546.10
Central America and the Caribbean,Panama,1521342.50,897933.75,623408.75
Central America and the Caribbean,Saint Kitts and Nevis ,351007.36,115118.08,235889.28
Australia and Oceania,Australia,442139.10,296219.22,145919.88
Middle East and North Africa,Lebanon,4121221.09,3099164.18,1022056.91
Central America and the Caribbean,Dominican Republic,716281.72,496655.88,219625.84
Asia,Mongolia,2699265.45,2175959.20,523306.25
Asia,Laos,4261557.79,3204697.58,1056860.21
Sub-Saharan Africa,Mozambique,1041832.93,783459.86,258373.07
Asia,China,580279.70,330367.31,249912.39
Middle East and North Africa,Qatar,252623.80,169249.96,83373.84
Europe,Italy,842688.47,633702.94,208985.53
Europe,Finland,45287.82,33589.68,11698.14
Europe,Denmark,349184.55,233942.61,115241.94
Europe,San Marino,870359.07,752355.47,118003.60
Europe,Austria,1909101.70,1086897.91,822203.79
Middle East and North Africa,Iran,888250.44,716045.44,172205.00
Australia and Oceania,East Timor,1184875.46,699342.63,485532.83
Middle East and North Africa,Somalia,1490222.38,879565.89,610656.49
Middle East and North Africa,Iraq,886153.12,523029.36,363123.76
Sub-Saharan Africa,Democratic Republic of the Congo,2700939.78,2334745.38,366194.40
Middle East and North Africa,Oman,746031.44,517283.76,228747.68
Sub-Saharan Africa,Zimbabwe,378873.76,124257.28,254616.48
Europe,Romania,3897491.85,3141885.60,755606.25
Europe,Italy,576998.40,189235.20,387763.20
Central America and the Caribbean,Grenada,331390.80,222021.36,109369.44
Australia and Oceania,Australia,1336143.06,853282.08,482860.98
Central America and the Caribbean,Antigua and Barbuda ,578309.76,189665.28,388644.48
Central America and the Caribbean,Cuba,30900.96,22919.04,7981.92
Europe,Slovakia,4279100.91,3449512.16,829588.75
Central America and the Caribbean,Trinidad and Tobago,40664.65,27244.03,13420.62
Sub-Saharan Africa,Rwanda,1384537.22,817187.91,567349.31
Sub-Saharan Africa,Comoros,894780.48,528121.44,366659.04
Europe,Austria,1350891.78,1167737.38,183154.40
North America,Canada,1044750.30,594801.69,449948.61
Sub-Saharan Africa,Gabon,194599.13,134931.27,59667.86
Middle East and North Africa,Iran,75414.39,55934.36,19480.03
Europe,Lithuania,20414.04,15140.96,5273.08
Australia and Oceania,Federated States of Micronesia,4500130.18,3384104.36,1116025.82
Sub-Saharan Africa,Burkina Faso,526596.76,396001.52,130595.24
Europe,Kosovo,1120447.90,637898.17,482549.73
Middle East and North Africa,Syria,419600.35,281118.97,138481.38
Europe,Bulgaria,173330.88,110691.84,62639.04
Asia,Indonesia,1040236.32,341160.96,699075.36
Sub-Saharan Africa,The Gambia,1405598.00,846605.95,558992.05
Middle East and North Africa,Morocco,5666261.33,4261036.66,1405224.67
Asia,India,548830.26,350491.68,198338.58
Middle East and North Africa,Oman,799555.90,455206.57,344349.33
Sub-Saharan Africa,Burundi,547427.54,379575.66,167851.88
Sub-Saharan Africa,Democratic Republic of the Congo,977732.64,624395.52,353337.12
Europe,Ukraine,1438829.40,918859.20,519970.20
Central America and the Caribbean,Saint Lucia,1404498.90,896935.20,507563.70
Central America and the Caribbean,Costa Rica,132010.24,43294.72,88715.52
Middle East and North Africa,Bahrain,649181.39,450129.81,199051.58
Middle East and North Africa,Bahrain,1725628.40,1039363.51,686264.89
Sub-Saharan Africa,Comoros,121091.16,71470.98,49620.18
Sub-Saharan Africa,Niger,225007.52,73794.56,151212.96
Australia and Oceania,New Zealand,1727262.90,983372.67,743890.23
Europe,Kosovo,116727.00,78203.40,38523.60
Sub-Saharan Africa,Namibia,430672.48,141245.44,289427.04
Sub-Saharan Africa,South Sudan,696222.54,444618.72,251603.82
Europe,Sweden,2059608.14,1548828.28,510779.86
Central America and the Caribbean,El Salvador,43444.92,25642.26,17802.66
Europe,Lithuania,37161.39,27562.36,9599.03
Asia,Philippines,1762790.40,1061746.56,701043.84
Middle East and North Africa,Morocco,4760345.10,3837457.60,922887.50
Middle East and North Africa,Israel,297897.28,97699.84,200197.44
Sub-Saharan Africa,Sao Tome and Principe,1280482.50,729009.75,551472.75
Sub-Saharan Africa,Zimbabwe,1188740.30,676778.69,511961.61
Europe,Slovakia,4272918.38,3213240.76,1059677.62
Central America and the Caribbean,Costa Rica,47629.65,35326.60,12303.05
Central America and the Caribbean,The Bahamas,2522480.31,2180481.51,341998.80
Sub-Saharan Africa,Democratic Republic of the Congo,559185.76,183393.28,375792.48
Sub-Saharan Africa,Equatorial Guinea,461447.58,319958.82,141488.76
Middle East and North Africa,Azerbaijan,561355.30,319593.19,241762.11
Australia and Oceania,Federated States of Micronesia,5719054.66,4300737.32,1418317.34
Australia and Oceania,Kiribati,1133419.42,668972.01,464447.41
Europe,Greece,58542.80,34553.40,23989.40
Europe,Georgia,385185.57,332961.97,52223.60
Europe,Luxembourg,1415026.92,903658.56,511368.36
Australia and Oceania,New Zealand,1606928.40,914863.32,692065.08
Sub-Saharan Africa,Guinea-Bissau,2582103.20,1555226.98,1026876.22
Central America and the Caribbean,Antigua and Barbuda ,3319965.36,2496618.72,823346.64
Europe,Hungary,32095.20,23804.80,8290.40
Middle East and North Africa,Kuwait,16756.68,12428.32,4328.36
Europe,Ireland,4909472.19,3957673.44,951798.75
Middle East and North Africa,Iran,31736.64,20267.52,11469.12
Middle East and North Africa,Pakistan,1309897.60,745756.48,564141.12
Asia,North Korea,950128.30,540931.09,409197.21
Central America and the Caribbean,Cuba,258385.20,155628.03,102757.17
Central America and the Caribbean,Jamaica,18137.52,13452.48,4685.04
Europe,Iceland,1422191.19,1229369.99,192821.20
Australia and Oceania,Kiribati,1066558.92,802053.84,264505.08
Sub-Saharan Africa,Lesotho,249264.71,187447.42,61817.29
Europe,Belgium,2399790.80,1445418.37,954372.43
Middle East and North Africa,Saudi Arabia,463159.45,310302.19,152857.26
Middle East and North Africa,Turkey,1238180.22,730804.41,507375.81
Europe,Liechtenstein,961402.80,579062.67,382340.13
Central America and the Caribbean,Haiti,4113870.12,3093636.24,1020233.88
Middle East and North Africa,Morocco,131105.06,77381.43,53723.63
